City_ID,city,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,-32.91,80,17,2.53,few clouds
1,Karakol,KG,42.4907,78.3936,17.94,71,2,4.94,clear sky
2,Ushuaia,AR,-54.8,-68.3,41,87,90,32.21,snow
3,Mataura,NZ,-46.1927,168.8643,52.57,68,98,6.85,overcast clouds
4,Chokurdakh,RU,70.6333,147.9167,-17.99,88,100,7.27,overcast clouds
5,Agadez,NE,19.75,10.25,53.56,38,0,11.3,clear sky
6,Itarema,BR,-2.9248,-39.9167,79.3,79,100,10.94,overcast clouds
7,Omboué,GA,-1.5746,9.2618,76.84,87,100,3.36,overcast clouds
8,East London,ZA,-33.0153,27.9116,66.36,78,0,4.74,clear sky
9,Pevek,RU,69.7008,170.3133,-21.68,87,100,0.43,overcast clouds
10,Leningradskiy,RU,69.3833,178.4167,-23.28,85,53,6.44,broken clouds
11,Leningradskiy,RU,69.3833,178.4167,-23.28,85,53,6.44,broken clouds
12,Tasiilaq,GL,65.6145,-37.6368,24.8,86,90,12.66,light intensity drizzle
13,Tasiilaq,GL,65.6145,-37.6368,24.8,86,90,12.66,light intensity drizzle
14,Turukhansk,RU,65.8167,87.9833,-32.08,78,82,9.84,broken clouds
15,Port Alfred,ZA,-33.5906,26.891,64,91,0,3,clear sky
16,Wahiawā,US,21.5028,-158.0236,69.94,71,47,15.7,scattered clouds
17,Snihurivka,UA,47.0758,32.8052,26.6,100,0,11.18,clear sky
18,Yumbel,CL,-37.0833,-72.5667,59,100,90,10.36,overcast clouds
19,Castro,BR,-24.7911,-50.0119,65.73,94,100,4.47,overcast clouds
20,Arlit,NE,18.7369,7.3853,59.47,33,0,6.64,clear sky
21,Tokur,RU,53.1333,132.9,-15.79,86,20,1.54,few clouds
22,Khasan,RU,42.4308,130.6434,7.72,83,0,27.4,clear sky
23,Khasan,RU,42.4308,130.6434,7.72,83,0,27.4,clear sky
24,Rikitea,PF,-23.1203,-134.9692,80.04,67,48,7.47,light rain
25,Atuona,PF,-9.8,-139.0333,78.8,74,30,18.3,scattered clouds
26,George Town,MY,5.4112,100.3354,79.59,72,99,6.4,overcast clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,-28.77,83,3,8.39,clear sky
28,Aswān,EG,24.0934,32.907,50.77,48,3,6.82,clear sky
29,Hobart,AU,-42.8794,147.3294,71.01,59,75,19.57,moderate rain
30,Tura,IN,25.5198,90.2201,68.9,46,0,0.49,clear sky
31,Bluff,NZ,-46.6,168.3333,52.36,66,99,12.33,overcast clouds
32,Amudat,UG,1.95,34.95,64.13,62,0,3.31,clear sky
33,Yellowknife,CA,62.456,-114.3525,-23.8,76,20,6.91,few clouds
34,Ishigaki,JP,24.3448,124.1572,57.2,62,75,18.41,broken clouds
35,Nikolskoye,RU,59.7035,30.7861,30.2,93,75,4.47,snow
36,Gewanē,ET,10.1664,40.6453,61.05,78,15,3.65,few clouds
37,Vestmannaeyjar,IS,63.4427,-20.2734,34.07,85,4,9.51,clear sky
38,Lebu,CL,-37.6167,-73.65,59.54,97,99,13.06,overcast clouds
39,Punta Arenas,CL,-53.15,-70.9167,39.31,81,22,14.63,few clouds
40,Santarém,BR,-2.4431,-54.7083,75.76,89,100,3.78,overcast clouds
41,San Patricio,US,28.017,-97.5169,52.54,68,74,5.99,broken clouds
42,Avarua,CK,-21.2078,-159.775,87.8,66,20,13.8,light rain
43,Lichinga,MZ,-13.3128,35.2406,62.02,98,100,3.76,light rain
44,Upernavik,GL,72.7868,-56.1549,-13.05,84,0,12.21,clear sky
45,Dingle,PH,10.9995,122.6711,79.27,80,68,14.99,broken clouds
46,Gornopravdinsk,RU,60.05,69.9,5.32,95,100,4.18,overcast clouds
47,Porto Tolle,IT,44.9497,12.3245,36,91,61,1.01,broken clouds
48,Saint-Philippe,RE,-21.3585,55.7679,78.01,65,0,5.75,clear sky
49,Airai,TL,-8.9266,125.4092,65.03,100,100,7.23,overcast clouds
50,Touros,BR,-5.1989,-35.4608,78.8,78,40,8.05,scattered clouds
51,Flin Flon,CA,54.7682,-101.865,1.69,93,100,8.66,overcast clouds
52,Busselton,AU,-33.65,115.3333,78.73,40,0,8.79,clear sky
53,Ponta do Sol,PT,32.6667,-17.1,62.28,67,35,4.16,scattered clouds
54,São Domingos,BR,-13.3983,-46.3183,71.37,56,100,4.94,overcast clouds
55,Kruisfontein,ZA,-34.0033,24.7314,57.49,90,0,4.79,clear sky
56,Lorengau,PG,-2.0226,147.2712,84.69,71,95,9.28,overcast clouds
57,Cape Town,ZA,-33.9258,18.4232,63.75,73,5,6.53,clear sky
58,Severo-Kuril'sk,RU,50.6789,156.125,27.97,91,96,9.13,overcast clouds
59,Hilo,US,19.7297,-155.09,72.3,65,48,6.49,light rain
60,Port Hedland,AU,-20.3167,118.5667,89.6,62,40,10.36,scattered clouds
61,Wilmington,US,34.2257,-77.9447,36,60,1,5.75,clear sky
62,Iqaluit,CA,63.7506,-68.5145,-9,70,1,27.63,snow
63,Iqaluit,CA,63.7506,-68.5145,-9,70,1,27.63,snow
64,Jamestown,US,42.097,-79.2353,14.61,95,97,12.39,light snow
65,Albany,US,42.6001,-73.9662,7.92,87,23,13.87,few clouds
66,Karlstad,SE,59.3793,13.5036,10.4,92,20,3.44,few clouds
67,Saint George,US,37.1041,-113.5841,50,40,1,18.41,clear sky
68,Morondava,MG,-20.2833,44.2833,78.76,84,29,4.94,scattered clouds
69,Baiyin,CN,36.5583,104.2081,27.59,78,100,1.1,overcast clouds
70,Huarmey,PE,-10.0681,-78.1522,70.43,83,78,6.35,broken clouds
71,Portland,US,45.5234,-122.6762,44.01,93,69,1.39,broken clouds
72,Kavieng,PG,-2.5744,150.7967,84.76,73,100,11.41,overcast clouds
73,Bredasdorp,ZA,-34.5322,20.0403,59.49,81,6,5.77,clear sky
74,Kieta,PG,-6.2167,155.6333,85.28,72,100,13.53,light rain
75,Puerto Ayora,EC,-0.7393,-90.3518,78.01,91,49,5.01,scattered clouds
76,Beipiao,CN,41.7919,120.7792,9.9,65,0,7.56,clear sky
77,Koslan,RU,63.4564,48.8989,0.84,92,100,9.04,overcast clouds
78,Bairiki Village,KI,1.3292,172.9752,86,70,20,9.22,few clouds
79,Provideniya,RU,64.3833,-173.3,8.6,66,0,24.61,clear sky
80,Port Hardy,CA,50.6996,-127.4199,37.44,78,0,5.01,clear sky
81,Port Hardy,CA,50.6996,-127.4199,37.44,78,0,5.01,clear sky
82,Forsytheganj,BY,52.6333,29.7333,23.43,98,100,8.05,overcast clouds
83,Forsytheganj,BY,52.6333,29.7333,23.43,98,100,8.05,overcast clouds
84,New Norfolk,AU,-42.7826,147.0587,68.86,45,100,12.12,moderate rain
85,Labuhan,ID,-6.8844,112.2051,81.55,81,100,20.33,overcast clouds
86,Nipawin,CA,53.3668,-104.0009,6.8,85,90,6.91,overcast clouds
87,Halmstad,SE,56.6745,12.8568,19.4,93,21,3.44,few clouds
88,Vaini,TO,-21.2,-175.2,77,100,90,14.97,light rain
89,High Level,CA,58.5169,-117.136,-15.43,89,62,4.92,broken clouds
90,Mahébourg,MU,-20.4081,57.7,75.2,88,40,2.3,scattered clouds
91,Bethel,US,41.3712,-73.414,15.08,81,0,15.52,clear sky
92,São Filipe,CV,14.8961,-24.4956,73.13,67,0,6.08,clear sky
93,Hermanus,ZA,-34.4187,19.2345,53.01,93,1,1.01,clear sky
94,Hermanus,ZA,-34.4187,19.2345,53.01,93,1,1.01,clear sky
95,Hermanus,ZA,-34.4187,19.2345,53.01,93,1,1.01,clear sky
96,Bara,NG,10.3744,10.7288,68.7,20,64,9.31,broken clouds
97,Turan,VN,16.0678,108.2208,69.8,88,75,1.14,mist
98,Mar del Plata,AR,-38.0023,-57.5575,72,88,90,5.75,light rain
99,Praia da Vitória,PT,38.7333,-27.0667,64.4,88,75,33.58,broken clouds
100,Butaritari,KI,3.0707,172.7902,80.83,78,96,13.38,overcast clouds
101,Vila Velha,BR,-20.3297,-40.2925,78.01,83,20,4.61,few clouds
102,Kavaratti,IN,10.5669,72.642,80.71,69,17,8.9,few clouds
103,Marzuq,YE,14.4,46.4667,53.28,40,10,2.95,clear sky
104,Dicabisagan,PH,17.0818,122.4157,72.1,79,98,12.59,overcast clouds
105,Leh,IN,34.1667,77.5833,1.94,67,54,1.68,broken clouds
106,Los Llanos de Aridane,ES,28.6585,-17.9182,65.12,66,0,2.77,clear sky
107,Arraial do Cabo,BR,-22.9661,-42.0278,76.84,85,3,21.54,clear sky
108,Qasigiannguit,GL,68.8193,-51.1922,-4.5,71,0,2.06,clear sky
109,Kangly,RU,44.2544,43.0308,33.8,93,90,4.47,snow
110,Kuril'sk,RU,45.2333,147.8833,25.27,91,100,11.41,overcast clouds
111,Ribeira Grande,PT,38.5167,-28.7,61.07,82,100,34.56,overcast clouds
112,Ribeira Grande,PT,38.5167,-28.7,61.07,82,100,34.56,overcast clouds
113,Kodinsk,RU,58.6881,99.1844,-33.32,80,88,3.09,overcast clouds
114,Hobyo,SO,5.3505,48.5268,75.61,71,22,16.8,few clouds
115,Kahului,US,20.8947,-156.47,74.35,66,30,15.82,scattered clouds
116,Bathsheba,BB,13.2167,-59.5167,77,69,20,14.97,few clouds
117,Isaka,TZ,-3.9,32.9333,61.9,91,2,3.04,light rain
118,Tiksi,RU,71.6872,128.8694,-27.96,85,97,7.7,overcast clouds
119,Longyearbyen,SJ,78.2186,15.6401,-9.96,81,0,10.71,clear sky
120,Sokolo,ML,14.7328,-6.1219,64.9,20,1,10.27,clear sky
121,Yalí,CO,6.6746,-74.8343,64.18,95,100,4.03,overcast clouds
122,Yalí,CO,6.6746,-74.8343,64.18,95,100,4.03,overcast clouds
123,Norman Wells,CA,65.282,-126.8329,-36.4,67,20,2.3,few clouds
124,Taltal,CL,-25.4,-70.4833,64.6,75,5,4.65,clear sky
125,Bandar,ID,2.05,99.75,80.49,73,99,2.86,overcast clouds
