City_ID,City,Country,Maximum Temperature,Weather Description,City Latitude,City Longitude,Hotel Name
0,Kūhdasht,IR,35.29,overcast clouds,33.535,47.6061,فروشگاه زنبیل
1,Punta Arenas,CL,51.8,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
2,Broome,US,15.01,clear sky,42.2506,-75.833,Chenango Valley State Park
3,City of San Pedro,PH,81.0,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
4,Saint Paul Harbor,US,33.8,clear sky,57.79,-152.4072,Best Western Kodiak Inn and Convention Center
5,Busselton,AU,79.0,clear sky,-33.65,115.3333,Observatory Guest House
6,Mataura,NZ,72.55,overcast clouds,-46.1927,168.8643,Ellie's Villa
7,Bandarbeyla,SO,73.8,overcast clouds,9.4942,50.8122,JABIR HOTEL
8,Castro,BR,65.68,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
9,Yangi Marg`ilon,UZ,33.8,overcast clouds,40.4272,71.7189,Ikathouse
10,Karratha,AU,88.56,light rain,-20.7377,116.8463,ibis Styles Karratha
11,Karratha,AU,88.56,light rain,-20.7377,116.8463,ibis Styles Karratha
12,Lüderitz,,65.39,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
13,Talara,PE,75.81,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
14,Kathmandu,NP,37.4,mist,27.7167,85.3167,Hotel Shanker Kathmandu
17,Pinheiro Machado,BR,69.1,light rain,-31.5783,-53.3811,Hotel e Restaurante Quitandinha
18,Mount Isa,AU,98.6,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
19,Cherskiy,RU,-35.7,clear sky,68.75,161.3,Gostinitsa
20,Tiksi,RU,-27.49,overcast clouds,71.6872,128.8694,Arktika
21,Teghra,IN,41.92,clear sky,25.4833,85.95,Slt Shop
22,Teghra,IN,41.92,clear sky,25.4833,85.95,Slt Shop
23,Camacha,PT,57.2,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
24,Narsaq,GL,39.2,broken clouds,60.9167,-46.05,Hotel Narsaq
25,Smirnykh,RU,1.42,overcast clouds,49.75,142.8333,Tsentral'naya
26,Chicama,PE,69.8,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
27,Snezhnogorsk,RU,12.2,light snow,69.1933,33.2531,Severnoye Siyaniye
28,Jamestown,US,18.0,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
29,Turka,UA,24.01,overcast clouds,49.1541,23.0297,Turkivsʹkyy Kar'yer
30,Cuamba,MZ,69.01,overcast clouds,-14.8031,36.5372,Hotel Vision
31,Kingsville,US,84.2,few clouds,27.5159,-97.8561,Econo Lodge Kingsville
32,Eyl,SO,70.57,broken clouds,7.9803,49.8164,Amiin Hotel
33,Darhan,MN,-1.68,overcast clouds,49.4867,105.9228,Buudai Hotel
34,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
35,Huarmey,PE,71.02,scattered clouds,-10.0681,-78.1522,Hotel Miramar
36,Torbay,CA,28.99,overcast clouds,47.6666,-52.7314,Gallows Cove
37,Puerto Ayora,EC,78.01,broken clouds,-0.7393,-90.3518,Castillo Galapagos
38,Derzhavīnsk,KZ,17.01,overcast clouds,51.1,66.3167,Ooo.khim Baza
39,Derzhavīnsk,KZ,17.01,overcast clouds,51.1,66.3167,Ooo.khim Baza
40,Bambous Virieux,MU,78.8,scattered clouds,-20.3428,57.7575,Casa Tia Villa
41,Guerrero Negro,MX,60.84,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
42,São Filipe,CV,74.64,overcast clouds,14.8961,-24.4956,Tortuga B&B
43,Correntina,BR,73.18,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
44,Correntina,BR,73.18,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
45,Chui,UY,71.51,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
46,Hobyo,SO,74.59,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
47,Esna,EG,50.0,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
48,Kavieng,PG,83.28,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
49,Port Alfred,ZA,62.01,clear sky,-33.5906,26.891,The Halyards Hotel
50,Sinnamary,GF,77.99,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
51,Churāchāndpur,IN,44.31,clear sky,24.3333,93.6667,Elite Boy's Hostel
52,Kitui,KE,60.69,overcast clouds,-1.367,38.0106,Heritage Bliss Hotel
53,Ilulissat,GL,6.8,overcast clouds,69.2167,-51.1,Hotel Arctic
54,Guararé,PA,78.1,overcast clouds,7.8167,-80.2833,RESIDENCIAL VILLA VALENTINA
57,Ambulu,ID,80.62,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
58,George Town,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
59,Yellowknife,CA,-11.0,few clouds,62.456,-114.3525,The Explorer Hotel
60,Yellowknife,CA,-11.0,few clouds,62.456,-114.3525,The Explorer Hotel
61,Yellowknife,CA,-11.0,few clouds,62.456,-114.3525,The Explorer Hotel
62,Severo-Kuril'sk,RU,25.41,light snow,50.6789,156.125,Kak Doma
